Symbol	Name	Price
APPN	Appian Corporation	211.07
APPS	Digital Turbine	59.8
APRE	Aprea Therapeutics	5.78
APRN	Blue Apron	9.59
APSG	Apollo Strategic Growth Capital	10.8
APT	Alpha Pro Tech	14.85
APTO	Aptose Biosciences	4.36
APTS	Preferred Apartment Communities	7.19
APTV	Aptiv	138.77
APTX	Aptinyx	3.48
APVO	Aptevo Therapeutics	33.6
APWC	Asia Pacific Wire & Cable	5.36
APXT	Apex Technology Acquisition	15.91
APY	Apergy Corporation	2.46
APYX	Apyx Medical	9.08
AQB	AquaBounty Technologies	10.33
AQMS	Aqua Metals	5.64
AQN	Algonquin Power & Utilities	16.79
AQST	Aquestive Therapeutics	5.29
AQUA	Evoqua Water Technologies	27.55
AR	Antero Resources	7.22
ARA	American Renal Associates	0.44
ARAV	Aravive	5.11
ARAY	Accuray	4.93
ARC	ARC Document Solutions	2.12
ARCB	ArcBest	47.72
ARCC	Ares Capital	17.5
ARCE	Arco Platform	33.87
ARCH	Arch Coal	48.81
ARCO	Arcos Dorados Holdings	4.95
ARCT	Arcturus Therapeutics	80.42
ARD	Ardagh Group SA	17.47
ARDS	Aridis Pharmaceuticals	7.12
ARDX	Ardelyx	6.96
ARE	Alexandria Real Estate Equities	169.56
AREC	American Resources	2.51
ARES	Ares Management	46.42
ARGO	Argo Group International	40.67
ARGX	Argenx SE	317.4
ARI	Apollo Commercial Real Estate Finance	11.49
ARKO	ARKO	9.34
ARKR	Ark Restaurants	18.7
ARL	American Realty Investors	8.81
ARLO	Arlo Technologies	10.18
ARLP	Alliance Resource Partners	5.57
ARMK	Aramark	34.92
ARMP	Armata Pharmaceuticals	5.5
ARNA	Arena Pharmaceuticals	76.99
ARNC	Arconic	26.16
AROC	Archrock	9.06
AROW	Arrow Financial	29.29
ARPO	Aerpio Pharmaceuticals	1.46
ARQT	Arcutis Biotherapeutics	35.58
ARR	ARMOUR Residential REIT	11.42
ARRY	Array Technologies	41.03
ARTH	Arch Therapeutics	0.17
ARTL	Artelo Biosciences	1.04
ARTNA	Artesian Resources	40.58
ARTW	Art''s-Way Manufacturing	3.41
ARVN	Arvinas	77.34
ARW	Arrow Electronics	100.33
ARWR	Arrowhead Pharmaceuticals	79.76
ARYA	Arya Sciences Acquisition III	11.16
ASA	ASA Gold And Precious Metals	22.05
ASAN	Asana	35.46
ASAQ	Atlantic Street Acquisition	10.22
ASB	Associated Banc-Corp	18.06
ASC	Ardmore Shipping	3.33
ASGN	ASGN Incorporated	85.97
ASH	Ashland	83.41
ASIX	AdvanSix	22.29
ASLE	AerSale	14.61
ASLN	ASLAN Pharmaceuticals	2.53
ASM	Avino Silver & Gold Mines	1.86
ASMB	Assembly Biosciences	5.79
ASML	ASML Holding	554.39
ASNAQ	Ascena Retail Group	0.17
ASNB	EKIMAS Corporation	0.02
ASND	Ascendis Pharma A/S	149.38
ASO	Academy Sports and Outdoors	22.1
ASPI	Aspire Real Estate Investors	64
ASPL	Aspirational Consumer Lifestyle Corp.	11.1
ASPN	Aspen Aerogels	21.03
ASPS	Altisource Portfolio Solutions	10.45
ASPU	Aspen Group	9.35
ASR	Grupo Aeroportuario del Sureste	165.34
ASRT	Assertio Therapeutics	0.69
ASRV	AmeriServ Financial	3.42
ASTC	Astrotech	2.11
ASTE	Astec Industries	60.84
ASUR	Asure Software	8.31
ASX	ASE Technology	6.92
ASYS	Amtech Systems	7.3
AT	Atlantic Power	2.97
ATA	Americas Technology Acquisition	10.11
ATAC	Altimar Acquisition	10.45
ATAX	America First Multifamily Investors	4.55
ATC	Atotech	0.18
ATCO	Atlas Corp.	11.51
ATCX	Atlas Technical Consultants	9.52
ATEC	Alphatec Holdings	15.1
ATEN	A10 Networks	10.03
ATEX	Anterix	36.16
ATGE	Adtalem Global Education	39.13
ATH	Athene Holding	41.16
ATHA	Athira Pharma	21.62
ATHE	Alterity Therapeutics	1.72
ATHM	Autohome	119.82
ATHX	Athersys	2.44
ATI	Allegheny Technologies	17.72
ATIF	ATIF Holdings	1.07
ATKR	Atkore International Group	46.11
ATLC	Atlanticus Holdings	27.28
ATLO	Ames National	22.29
ATLS	Atlas Energy Group	0.01
ATMS	Artemis Therapeutics	0.2
ATNF	180 Life Sciences	4.19
ATNI	ATN International	44.18
ATNM	Actinium Pharmaceuticals	8.29
ATNX	Athenex	13.71
ATO	Atmos Energy	88.65
ATOM	Atomera	32.53
ATOS	Atossa Therapeutics	2.37
ATR	AptarGroup	134.09
ATRA	Atara Biotherapeutics	18.86
ATRC	AtriCure	58.97
ATRI	Atrion Corporation	638.1
ATRO	Astronics Corporation	12.29
ATRS	Antares Pharma	4.34
ATRX	Adhera Therapeutics	0.1
ATSG	Air Transport Services Group	25.95
ATTO	Atento	18.75
ATUS	Altice USA	35.92
ATV	Acorn International	20.89
ATVI	Activision Blizzard	91.42
ATXI	Avenue Therapeutics	6.23
AU	AngloGold Ashanti	23.55
AUB	Atlantic Union Bankshares	33.6
AUBN	Auburn National Bancorporation	39.5
AUDC	AudioCodes	31.46
AUG	Auryn Resources	211.55
AUMN	Golden Minerals	1
AUOTY	AU Optronics	5.59
AUPH	Aurinia Pharmaceuticals	16.27
AUTL	Autolus Therapeutics	7.41
AUTO	AutoWeb	3.05
AUVI	Applied UV	4.85
AUY	Yamana Gold	4.96
AVA	Avista	37.83
AVAL	Grupo Aval Acciones y Valores	6.46
AVAN	Avanti Acquisition	10.4
AVAV	AeroVironment	118.5
AVB	AvalonBay Communities	165.23
AVCO	Avalon GloboCare	1.26
AVCT	American Virtual Cloud Technologies	8.02
AVD	American Vanguard	17.02
AVDL	Avadel Pharmaceuticals	7.05
AVDR	Avedro	25.43
AVEO	AVEO Pharmaceuticals	7.96
AVGO	Broadcom	466.74
AVGR	Avinger	1.53
AVID	Avid Technology	18.08
AVIR	Atea Pharmaceuticals	75.59
AVLNF	Avalon Advanced Materials	0.17
AVLR	Avalara	152.35
AVNS	Avanos Medical	45.41
AVNT	Avient	40.67
AVNW	Aviat Networks	41.97
AVO	Mission Produce	18.81
AVRO	Avrobio	14.55
AVT	Avnet	36.83
AVTR	Avantor	29.5
AVXL	Anavex Life Sciences	6.53
AVY	Avery Dennison	153.06
AVYA	Avaya Holdings	22.89
AWH	Aspira Women''s Health	8.87
AWI	Armstrong World Industries	80.67
AWK	American Water Works	161.52
AWR	American States Water	79.33
AWRE	Aware	3.96
AWX	Avalon Holdings	3.39
AX	Axos Financial	40.03
AXAS	Abraxas Petroleum	2.61
AXDX	Accelerate Diagnostics	10.65
AXE	Anixter International	0.26
AXGN	Axogen	17.67
AXIM	AXIM Biotechnologies	0.42
AXL	American Axle & Manufacturing	8.93
AXLA	Axcella Health	5.48
AXNX	Axonics Modulation Technologies	51.23
AXP	American Express	117.03
AXR	AMREP Corporation	8.56
AXS	AXIS Capital Holdings	46.18
AXSM	Axsome Therapeutics	70.89
AXTA	Axalta Coating Systems	27.77
AXTI	AXT Inc.	10.93
AXU	Alexco Resource	3.22
AY	Atlantica Sustainable Infrastructure	42.22
AYI	Acuity Brands	125.18
AYLA	Ayala Pharmaceuticals	13.94
AYRO	AYRO, Inc.	6.88
AYTU	Aytu BioScience	7.32
AYX	Alteryx	126.64
AZEK	AZEK Company	41.14
AZN	AstraZeneca	50.4
AZO	AutoZone	1159.33
AZPN	Aspen Technology	134.13
AZRE	Azure Power Global	38.83
AZRX	AzurRx BioPharma	1.37
AZUL	Azul S.A.	22.88
AZYO	Aziyo Biologics	15.79
AZZ	AZZ Inc.	49.08
B	Barnes Group	49.12
BABA	Alibaba Group	264.69
BABB	BAB, Inc.	0.64
BAC	Bank of America	29.96
BAH	Booz Allen Hamilton	83.75
BAK	Braskem	9.37
BALY	Bally''s Corporation	52.36
BAM	Brookfield Asset Management	39.11
BANC	Banc of California	17.28
BAND	Bandwidth	178.87
BANF	BancFirst Corporation	59.33
BANR	Banner Corporation	46.07
BANT	Bantec	0.01
BAP	Credicorp	152
BASI	Bioanalytical Systems	11.81
BATL	Battalion Oil	7.2
BAX	Baxter International	76.38
BB	BlackBerry	14.63
BBAR	Banco BBVA Argentina	2.77
BBBY	Bed Bath & Beyond	30.26
BBCP	Concrete Pumping Holdings	5.62
BBD	Banco Bradesco	4.61
BBDC	Barings BDC	9.01
BBGI	Beasley Broadcast Group	2.07
BBI	Brickell Biotech	1.1
BBIG	Vinco Ventures	3.46
BBIO	BridgeBio Pharma	57.43
BBL	BHP Group	56.46
BBQ	BBQ Holdings	5.95
BBSI	Barrett Business Services	64.55
BBU	Brookfield Business Partners	37.09
BBVA	Banco Bilbao Vizcaya Argentaria	4.54
BBW	Build-A-Bear Workshop	5.4
BBX	BBX Capital	0.31
BBY	Best Buy	107.69
BC	Brunswick	86.9
BCAB	BioAtla	44.51
BCBP	BCB Bancorp	11.85
BCC	Boise Cascade	49.03
BCDA	BioCardia	4.18
BCE	BCE, Inc.	42.38
BCEI	Bonanza Creek Energy	21.39
BCEL	Atreca	13.82
BCH	Banco de Chile SA	20.55
BCLI	Brainstorm Cell Therapeutics	5.64
BCML	BayCom	14.52
BCO	Brink''s Company	69.41
BCOM	B Communications	10.23
BCOMF	B Communications	1.84
BCOR	Blucora	17.48
BCOV	Brightcove	16.6
BCOW	1895 Bancorp of Wisconsin	9.34
BCPC	Balchem Corporation	110.44
BCRX	BioCryst Pharmaceuticals	11.85
BCS	Barclays	7.4
BCSF	Bain Capital	12.65
BCTF	Bancorp 34	11.18
BCTG	BCTG Acquisition	11.63
BCYC	Bicycle Therapeutics	26.93
BDC	Belden	47.89
BDGE	Bridge Bancorp	24.43
BDIC	Blow & Drive Interlock	0.06
BDL	Flanigan''s Enterprises	24.5
BDN	Brandywine Realty Trust	11.1
BDR	Blonder Tongue Laboratories	1.71
BDSI	BioDelivery Sciences	3.96
BDSX	Biodesix	24.28
BDTX	Black Diamond Therapeutics	24.2
BDX	Becton, Dickinson	261.37
BE	Bloom Energy	37.25
BEAM	Beam Therapeutics	98.35
BEAT	BioTelemetry	71.75
BEBE	Bebe Stores	4.55
BECN	Beacon Roofing Supply	40.67
BEDU	Bright Scholar Education	5.98
BEEM	Beam Global	60.88
BEKE	KE Holdings	60.97
BELFA	Bel Fuse	14.16
BELFB	Bel Fuse	15.44
BEN	Franklin Resources	26.58
BEP	Brookfield Renewable Partners	45.83
BEPC	Brookfield Renewable Corporation	56.15
BERY	Berry Global Group	50.02
BEST	BEST Inc.	2.27
BF.A	Brown-Forman	66.98
BF.B	Brown-Forman	72.16
BFAM	Bright Horizons Family Solutions	157.35
BFC	Bank First	66.87
BFGC	Bullfrog Gold	0.0
BFI	BurgerFi International	12.36
BFIN	BankFinancial Corporation	8.76
BFRA	Biofrontera AG	7.81
BFS	Saul Centers	30.28
BFST	Business First Bancshares	20.35
BFT	Foley Trasimene Acquisition II	16.67
BG	Bunge	67.27
BGCP	BGC Partners	3.59
BGFV	Big 5 Sporting Goods	14.14
BGGSQ	Briggs & Stratton	0.0
BGI	Birks Group	1.35
BGMD	BG Medicine	0.09
BGNE	BeiGene	347.01
BGS	B&G Foods	37.33
BGSF	BG Staffing	12.91
BH	Biglari Holdings	117.7
BH.A	Biglari Holdings	572
BHAT	Blue Hat Interactive	1.1
BHB	Bar Harbor Bankshares	21.91
BHC	Bausch Health Companies	25.83
BHE	Benchmark Electronics	26.51
BHF	Brighthouse Financial	36.08
BHLB	Berkshire Hills Bancorp	16.8
BHP	BHP Group	68.34
BHR	Braemar Hotels & Resorts	5.12
BHSE	Bull Horn Holdings	10.17
BHTG	BioHiTech Global	1.64
BHVN	Biohaven Pharmaceutical	84.43
BICX	BioCorRx	1.5
BIDU	Baidu, Inc	241.89
BIEI	Premier Biomedical	0
BIG	Big Lots	55.65
BIGC	BigCommerce	78.33
BIIB	Biogen	278.46
BILI	Bilibili	121.64
BILL	Bill.com	130.74
BIMI	BOQI International Medical	1.95
BIO	Bio-Rad Laboratories	591.68
BIO.B	Bio-Rad Laboratories	556.55
BIOC	Biocept	6.08
BIOL	BIOLASE, Inc.	1.07
BIOT	Biotech Acquisition	13.38
BIOX	Bioceres Crop Solutions	7.61
BIP	Brookfield Infrastructure Partners	52.26
BIPC	Brookfield Infrastructure	67.93
BIRD	Infobird	18.7
BIVI	BioVie	36.74
BJ	BJ''s Wholesale Club	42.48
BJRI	BJ''s Restaurants	46.57
BK	Bank of New York Mellon	40.47
BKCC	BlackRock Capital Investment	3.16
BKD	Brookdale Senior Living	5.02
BKE	The Buckle	37.58
BKEP	BlueKnight Energy Partners	2.01
BKGM	BankGuam Holding	9.02
BKH	Black Hills	60.29
BKI	Black Knight	83.82
BKNG	Booking Holdings	1990.46
BKR	Baker Hughes	20.31
BKSC	Bank of South Carolina	16.4
BKTI	BK Technologies	3.46
BKU	BankUnited	35.72
BKYI	BIO-key International	3.88
BL	BlackLine	133.72
BLBD	Blue Bird	20.81
BLCM	Bellicum Pharmaceuticals	4.23
